"","slope","elev_mnt","twi","eastness_exp","northness_exp"
"1",12.8661708201036,339.175438156128,6.6525,0.143059393740494,-0.112626751974432
"2",10.0916178439749,343.670961303711,4.2125,0.0766302272395352,-0.117331524121103
"3",13.2257891182208,342.503318099976,4.9125,0.0701366825370249,-0.180357843570154
"6",29.2741088854811,352.131129379272,2.0425,0.246755479893802,-0.347973215153755
"7",18.4942272159099,347.709531478882,2.625,0.125485585918253,-0.242255498766617
"8",11.2631786472374,345.760928878784,5.65,0.0419666589186362,-0.155925898463064
"9",16.513926307225,345.329225845337,2.4475,0.066239667913204,-0.227923071859294
"10",21.4265631549307,341.219918670654,3.085,0.202237923258586,-0.239263335630647
"11",11.5885983917642,339.256495437622,5.5975,0.050039673667338,-0.164482695368161
"13",18.7343646080907,358.972454833984,2.275,0.159421717490259,-0.194293940982321
"14",24.5810697444741,352.30201965332,2.27,0.284263570114944,-0.214924119567411
"15",11.0463444490622,348.857133483887,5.735,0.0387403800351483,-0.141443537820731
"16",12.4984599241035,349.380676269531,2.655,-0.014163733670704,-0.165064394572434
"17",23.1823686394843,346.123647079468,2.4775,0.233788805834101,-0.239843998309412
"18",12.7486785369347,342.5346509552,3.3925,0.126981149917807,-0.133441931995811
"19",12.8475374268862,339.574330596924,4.96,0.17907718315215,-0.0646487624597982
"22",16.936289244313,364.91288772583,1.99,0.0827451085581907,-0.219821045907345
"23",16.7948363763586,362.075162124634,2.5375,0.166697800508771,-0.131976515826023
"24",24.4272689122575,356.787421951294,3.1525,0.302652234012389,-0.179537573567018
"25",12.8031543425822,351.886041641235,4.735,0.0747733334083769,-0.157046887933669
"26",7.67857483013835,351.941471633911,5.055,-0.0423065734804373,-0.0870179469803314
"27",16.2378369594704,352.523499526978,2.2525,0.00700838131032901,-0.220617161214262
"28",29.6657378306931,350.214336929321,1.54,0.173334429930913,-0.379822154077357
"29",32.3726666048873,343.877388381958,2.7175,0.296011720542113,-0.335477301100431
"31",11.489225174502,365.369037017822,2.76,-0.16159851274728,-0.0354803074597225
"32",8.32054129534613,367.435397644043,2.4425,0.00827975599743249,1.98215192947237e-05
