"","ABBA","ACRU","BEPA","ACSA","THOC","FAGR","ACPE","Picea","TSCA","POGR","BEAL","POTR","QURU","FRNI","PIST","POBA","LALA"
"1",6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,9,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"7",0,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"8",1,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,9,4,2,0,0,2,1,0,0,0,0,0,0,0,0,0
"10",2,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11",4,4,11,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"13",2,3,7,2,0,1,1,0,1,0,0,0,0,0,0,0,0
"14",0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"15",0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"16",2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18",1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",4,2,2,2,3,0,1,0,1,0,0,2,0,0,0,0,0
"23",4,5,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",1,6,1,2,0,2,1,0,0,0,3,0,0,0,0,0,0
"25",0,3,9,2,0,0,1,0,0,0,2,0,0,0,0,0,0
"26",0,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",3,8,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"28",1,11,5,2,1,0,0,0,0,0,1,0,1,0,0,0,0
"29",4,9,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"31",3,7,3,0,4,0,1,0,0,1,0,0,0,0,0,0,0
"32",5,7,5,0,3,0,3,0,0,0,0,1,0,0,0,0,0
"33",1,5,8,3,0,1,1,0,0,0,0,0,0,0,0,0,0
"34",0,4,5,1,0,3,0,0,1,0,1,0,0,0,0,0,0
"35",0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"36",2,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"37",2,1,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"38",4,9,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"39",10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,11,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",7,10,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0
"43",2,14,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"44",3,8,9,2,0,0,0,0,1,0,1,0,0,0,0,0,0
"45",4,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"46",2,11,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"47",3,9,6,2,0,0,0,0,0,0,3,0,0,0,0,0,0
"48",1,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"49",0,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"50",4,7,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
